Class ID: 0, Sub ID: -1, DRS File Name: building_bandits_air_defense_launcher_module1_s0.drs, Locator File Name: 
Class ID: 0, Sub ID: -1, DRS File Name: environment_effect_controller_special_soulharvester_spawn.drs, Locator File Name: effect_dummy_UniversalDOT_ovt.fxb
Class ID: 0, Sub ID: -1, DRS File Name: environment_effect_controller_testcase_bb.drs, Locator File Name: effect_testcase_BB.fxb
Class ID: 0, Sub ID: -1, DRS File Name: environment_effect_controller_testcase_de.drs, Locator File Name: effect_testcase_DE.fxb
Class ID: 0, Sub ID: -1, DRS File Name: environment_effect_controller_testcase_sfp.drs, Locator File Name: effect_testcase_SFP.fxb
Class ID: 0, Sub ID: -1, DRS File Name: environment_effect_controller_test_light20.drs, Locator File Name: effect_test_Light20.fxb
Class ID: 0, Sub ID: -1, DRS File Name: environment_effect_controller_test_light40.drs, Locator File Name: effect_test_Light40.fxb
Class ID: 0, Sub ID: -1, DRS File Name: environment_effect_controller_test_light5.drs, Locator File Name: effect_test_Light5.fxb
Class ID: 0, Sub ID: -1, DRS File Name: environment_effect_controller_test_light_loop.drs, Locator File Name: effect_test_Light_Loop.fxb
Class ID: 0, Sub ID: -1, DRS File Name: unit_bandit_walking_cannon.drs, Locator File Name: 
Class ID: 0, Sub ID: -1, DRS File Name: unit_fallen_skyelf.drs, Locator File Name: 
Class ID: 0, Sub ID: -1, DRS File Name: unit_fallen_skyelf_effect.drs, Locator File Name: 
Class ID: 0, Sub ID: -1, DRS File Name: unit_fallen_skyelf_special.drs, Locator File Name: 
Class ID: 0, Sub ID: -1, DRS File Name: unit_lostsouls_demon_shade.drs, Locator File Name: 
Class ID: 0, Sub ID: -1, DRS File Name: unit_lostsouls_spitfire_shade.drs, Locator File Name: 
Class ID: 0, Sub ID: -1, DRS File Name: unit_queek_queek.drs, Locator File Name: 
Class ID: 0, Sub ID: -1, DRS File Name: unit_queek_queek_normal.drs, Locator File Name: 
Class ID: 0, Sub ID: -1, DRS File Name: unit_shadow_battleship_die.drs, Locator File Name: 
Class ID: 0, Sub ID: -1, DRS File Name: unit_twilight_buffbug.drs, Locator File Name: 
Class ID: 0, Sub ID: -1, DRS File Name: object_ghostland_candleobject_m_001.drs, Locator File Name: effect_object_ghostland_candleobject_m_001_perm.fxb
Class ID: 0, Sub ID: -1, DRS File Name: object_ghostland_candleobject_m_002.drs, Locator File Name: effect_object_ghostland_candleobject_m_002_perm.fxb
Class ID: 0, Sub ID: -1, DRS File Name: object_greenland_head_l_001.drs, Locator File Name: effect_object_greenland_head_l_001_perm.fxb
Class ID: 0, Sub ID: -1, DRS File Name: object_greenland_ruin_l_006.drs, Locator File Name: effect_object_greenland_ruin_l_006_perm.fxb
Class ID: 0, Sub ID: -1, DRS File Name: quest_cloudfire_beacon.drs, Locator File Name: effect_building_quest_cloudfire_beacon.fxb
Class ID: 0, Sub ID: -1, DRS File Name: quest_fire_magic_gate_forcefield.drs, Locator File Name: effect_global_level_MagicGate03_big_red_perm.fxb
Class ID: 0, Sub ID: -1, DRS File Name: quest_fire_oracle_temple_statue.drs, Locator File Name: effect_quest_fire_oracle_temple_statue_perm.fxb
Class ID: 0, Sub ID: -1, DRS File Name: quest_frostland_magic_gate_02_ice_forcefield.drs, Locator File Name: effect_global_level_MagicGate03_blue_perm.fxb
Class ID: 0, Sub ID: -1, DRS File Name: quest_frostland_magic_gate_forcefield_02.drs, Locator File Name: effect_global_level_MagicGate03_blue_perm.fxb
Class ID: 0, Sub ID: -1, DRS File Name: quest_frostland_magic_gate_forcefield_02_big.drs, Locator File Name: effect_global_level_MagicGate03_big_blue_perm.fxb
Class ID: 0, Sub ID: -1, DRS File Name: quest_frost_magic_gate_forcefield.drs, Locator File Name: effect_global_level_MagicGate03_big_blue_perm.fxb
Class ID: 0, Sub ID: -1, DRS File Name: quest_greenland_magic_gate_02_forcefield.drs, Locator File Name: effect_global_level_MagicGate02_blue_perm.fxb
Class ID: 0, Sub ID: -1, DRS File Name: quest_greenland_magic_gate_forcefield_02.drs, Locator File Name: effect_global_level_MagicGate03_green_perm.fxb
Class ID: 0, Sub ID: -1, DRS File Name: quest_greenland_magic_gate_forcefield_02_big.drs, Locator File Name: effect_global_level_MagicGate03_big_green_perm.fxb
Class ID: 0, Sub ID: -1, DRS File Name: quest_magic_gate_forcefield.drs, Locator File Name: effect_global_level_MagicGate.fxb
Class ID: 0, Sub ID: -1, DRS File Name: quest_magic_gate_small_forcefield.drs, Locator File Name: effect_building_MagicGate_small_perm.fxb
Class ID: 0, Sub ID: -1, DRS File Name: quest_nature_magic_gate_forcefield.drs, Locator File Name: effect_global_level_MagicGate03_big_green_perm.fxb
Class ID: 0, Sub ID: -1, DRS File Name: quest_pve_soullight.drs, Locator File Name: Effect_Misc_SoulStone.xml
Class ID: 0, Sub ID: -1, DRS File Name: quest_shadow_magic_gate_forcefield.drs, Locator File Name: effect_global_level_MagicGate03_big_shadow_perm.fxb
Class ID: 0, Sub ID: -1, DRS File Name: spawn_cave_entry.drs, Locator File Name: effect_building_CaveGlow.fxb
Class ID: 0, Sub ID: -1, DRS File Name: object_scenario_fire_bowl_001.drs, Locator File Name: effect_object_scenario_fire_bowl_001.fxb
Class ID: 0, Sub ID: -1, DRS File Name: object_scenario_fire_bowl_002.drs, Locator File Name: effect_object_scenario_fire_bowl_002.fxb
Class ID: 0, Sub ID: -1, DRS File Name: object_scenario_twilight_magicsphere_001.drs, Locator File Name: effect_twilight_Grimvine_shield_loop.fxb
Class ID: 0, Sub ID: -1, DRS File Name: unit_bloodhorn.drs, Locator File Name: 
Class ID: 0, Sub ID: -1, DRS File Name: unit_forest_elder.drs, Locator File Name: 
Class ID: 0, Sub ID: -1, DRS File Name: unit_lostsouls_wrathgazer.drs, Locator File Name: 
Class ID: 0, Sub ID: -1, DRS File Name: unit_lost_horror_shade.drs, Locator File Name: 
Class ID: 0, Sub ID: -1, DRS File Name: unit_magma_fiend.drs, Locator File Name: 
Class ID: 0, Sub ID: -1, DRS File Name: unit_primeval_watcher.drs, Locator File Name: 
Class ID: 0, Sub ID: -1, DRS File Name: unit_snapjaw.drs, Locator File Name: 
Class ID: 0, Sub ID: -1, DRS File Name: unit_snapjaw_special.drs, Locator File Name: 
Class ID: 0, Sub ID: -1, DRS File Name: unit_stonekin_magma_fiend.drs, Locator File Name: 
Class ID: 0, Sub ID: -1, DRS File Name: unit_stonekin_primeval_watcher.drs, Locator File Name: 
Class ID: 0, Sub ID: -1, DRS File Name: unit_twilight_wrathgazer.drs, Locator File Name: 
Class ID: 0, Sub ID: -1, DRS File Name: unit_void_maw.drs, Locator File Name: 
Class ID: 0, Sub ID: -1, DRS File Name: unit_wrathgazer.drs, Locator File Name: 
Class ID: 0, Sub ID: -1, DRS File Name: unit_crab.drs, Locator File Name: 
Class ID: 0, Sub ID: -1, DRS File Name: unit_deep_one.drs, Locator File Name: 
Class ID: 0, Sub ID: -1, DRS File Name: unit_emberstrike.drs, Locator File Name: 
Class ID: 0, Sub ID: -1, DRS File Name: unit_emberstrike_frost.drs, Locator File Name: 
Class ID: 0, Sub ID: -1, DRS File Name: unit_lostsouls_frenzy.drs, Locator File Name: 
Class ID: 0, Sub ID: -1, DRS File Name: unit_lostsouls_frenzy_shade.drs, Locator File Name: 
Class ID: 0, Sub ID: -1, DRS File Name: unit_mutating_frenzy.drs, Locator File Name: 
Class ID: 0, Sub ID: -1, DRS File Name: unit_siege_crab.drs, Locator File Name: 
Class ID: 0, Sub ID: -1, DRS File Name: unit_stonekin_emberstrike.drs, Locator File Name: 
Class ID: 0, Sub ID: -1, DRS File Name: unit_tremor.drs, Locator File Name: 
Class ID: 0, Sub ID: -1, DRS File Name: unit_twilight_crab.drs, Locator File Name: 
Class ID: 0, Sub ID: -1, DRS File Name: unit_twilight_frenzy.drs, Locator File Name: 
Class ID: 0, Sub ID: -1, DRS File Name: unit_twilight_siege_crab.drs, Locator File Name: 
Class ID: 0, Sub ID: -1, DRS File Name: unit_flamethrower_elemental.drs, Locator File Name: 
Class ID: 0, Sub ID: -1, DRS File Name: unit_lostsouls_ashbone_pyro.drs, Locator File Name: 
Class ID: 0, Sub ID: -1, DRS File Name: unit_lostsouls_ashbone_pyro_shade.drs, Locator File Name: 
Class ID: 0, Sub ID: -1, DRS File Name: unit_magma_hurler.drs, Locator File Name: 
Class ID: 0, Sub ID: -1, DRS File Name: unit_shadowflame_demon.drs, Locator File Name: 
Class ID: 0, Sub ID: -1, DRS File Name: unit_stonekin_flamethrower.drs, Locator File Name: 
Class ID: 0, Sub ID: -1, DRS File Name: unit_stonekin_magma_hurler.drs, Locator File Name: 
Class ID: 0, Sub ID: -1, DRS File Name: unit_sun_reaver.drs, Locator File Name: 
Class ID: 0, Sub ID: -1, DRS File Name: unit_tendril_spike_impaler.drs, Locator File Name: 
Class ID: 0, Sub ID: -1, DRS File Name: unit_thorn_shooter.drs, Locator File Name: 
Class ID: 0, Sub ID: -1, DRS File Name: unit_treespirit.drs, Locator File Name: 
Class ID: 0, Sub ID: -1, DRS File Name: unit_twilight_thornshooter.drs, Locator File Name: 
Class ID: 0, Sub ID: -1, DRS File Name: unit_bandit_manawing.drs, Locator File Name: 
Class ID: 0, Sub ID: -1, DRS File Name: unit_ebon_roc.drs, Locator File Name: 
Class ID: 0, Sub ID: -1, DRS File Name: unit_manawing.drs, Locator File Name: 
Class ID: 0, Sub ID: -1, DRS File Name: unit_twilight_roc.drs, Locator File Name: 
Class ID: 0, Sub ID: -1, DRS File Name: unit_war_eagle.drs, Locator File Name: 
Class ID: 0, Sub ID: -1, DRS File Name: unit_arch_demon.drs, Locator File Name: 
Class ID: 0, Sub ID: -1, DRS File Name: unit_lostsouls_demon.drs, Locator File Name: 
Class ID: 0, Sub ID: -1, DRS File Name: unit_lou_promo_moloch.drs, Locator File Name: 
Class ID: 0, Sub ID: -1, DRS File Name: unit_shadow_demon.drs, Locator File Name: 
Class ID: 0, Sub ID: -1, DRS File Name: unit_bandit_swamp_drake.drs, Locator File Name: 
Class ID: 0, Sub ID: -1, DRS File Name: unit_fire_dragon.drs, Locator File Name: 
Class ID: 0, Sub ID: -1, DRS File Name: unit_frost_dragon.drs, Locator File Name: 
Class ID: 0, Sub ID: -1, DRS File Name: unit_giant_wyrm.drs, Locator File Name: 
Class ID: 0, Sub ID: -1, DRS File Name: unit_lostsouls_dragon.drs, Locator File Name: 
Class ID: 0, Sub ID: -1, DRS File Name: unit_lost_dragon_shade.drs, Locator File Name: 
Class ID: 0, Sub ID: -1, DRS File Name: unit_shadow_dragon.drs, Locator File Name: 
Class ID: 0, Sub ID: -1, DRS File Name: unit_skyfire_drake.drs, Locator File Name: 
Class ID: 0, Sub ID: -1, DRS File Name: unit_swamp_drake.drs, Locator File Name: 
Class ID: 0, Sub ID: -1, DRS File Name: unit_swamp_drake_special.drs, Locator File Name: 
Class ID: 0, Sub ID: -1, DRS File Name: unit_twilight_giant_wyrm.drs, Locator File Name: 
Class ID: 0, Sub ID: -1, DRS File Name: unit_dummy_l_fire.drs, Locator File Name: 
Class ID: 0, Sub ID: -1, DRS File Name: unit_darkelf_assassin.drs, Locator File Name: 
Class ID: 0, Sub ID: -1, DRS File Name: unit_spirit_hunter.drs, Locator File Name: 
Class ID: 0, Sub ID: -1, DRS File Name: unit_sunstrider.drs, Locator File Name: 
Class ID: 0, Sub ID: -1, DRS File Name: unit_twilight_windweaver.drs, Locator File Name: 
Class ID: 0, Sub ID: -1, DRS File Name: unit_white_ranger.drs, Locator File Name: 
Class ID: 0, Sub ID: -1, DRS File Name: unit_windweaver.drs, Locator File Name: 
Class ID: 0, Sub ID: -1, DRS File Name: unit_bandit_battle_fortress.drs, Locator File Name: 
Class ID: 0, Sub ID: -1, DRS File Name: unit_bandit_raven_fortress.drs, Locator File Name: 
Class ID: 0, Sub ID: -1, DRS File Name: unit_bandit_raven_scoutship.drs, Locator File Name: 
Class ID: 0, Sub ID: -1, DRS File Name: unit_battle_fortress.drs, Locator File Name: 
Class ID: 0, Sub ID: -1, DRS File Name: unit_lostsouls_spitfire.drs, Locator File Name: 
Class ID: 0, Sub ID: -1, DRS File Name: unit_ravenheart.drs, Locator File Name: 
Class ID: 0, Sub ID: -1, DRS File Name: unit_ravenheart_special.drs, Locator File Name: 
Class ID: 0, Sub ID: -1, DRS File Name: unit_shadow_battleship.drs, Locator File Name: 
Class ID: 0, Sub ID: -1, DRS File Name: unit_spitfire.drs, Locator File Name: 
Class ID: 0, Sub ID: -1, DRS File Name: unit_avatar_of_frost.drs, Locator File Name: 
Class ID: 0, Sub ID: -1, DRS File Name: unit_bandit_overlord.drs, Locator File Name: 
Class ID: 0, Sub ID: -1, DRS File Name: unit_battlesanta.drs, Locator File Name: 
Class ID: 0, Sub ID: -1, DRS File Name: unit_brannoc_mutated.drs, Locator File Name: 
Class ID: 0, Sub ID: -1, DRS File Name: unit_dreadnought.drs, Locator File Name: 
Class ID: 0, Sub ID: -1, DRS File Name: unit_jorne.drs, Locator File Name: 
Class ID: 0, Sub ID: -1, DRS File Name: unit_lostsouls_overlord.drs, Locator File Name: 
Class ID: 0, Sub ID: -1, DRS File Name: unit_lostsouls_overlord_shade.drs, Locator File Name: 
Class ID: 0, Sub ID: -1, DRS File Name: unit_overlord.drs, Locator File Name: 
Class ID: 0, Sub ID: -1, DRS File Name: unit_red_king.drs, Locator File Name: 
Class ID: 0, Sub ID: -1, DRS File Name: unit_stonekin_avatar.drs, Locator File Name: 
Class ID: 0, Sub ID: -1, DRS File Name: unit_stonekin_avatar_special.drs, Locator File Name: 
Class ID: 0, Sub ID: -1, DRS File Name: unit_stonekin_dreadnought.drs, Locator File Name: 
Class ID: 0, Sub ID: -1, DRS File Name: unit_bandit_harvester_giant.drs, Locator File Name: 
Class ID: 0, Sub ID: -1, DRS File Name: unit_bandit_harvester_giant_pvp.drs, Locator File Name: 
Class ID: 0, Sub ID: -1, DRS File Name: unit_fire_tuskgiant.drs, Locator File Name: 
Class ID: 0, Sub ID: -1, DRS File Name: unit_fire_tuskgiant_special.drs, Locator File Name: 
Class ID: 0, Sub ID: -1, DRS File Name: unit_grimvine.drs, Locator File Name: 
Class ID: 0, Sub ID: -1, DRS File Name: unit_juggernaut_mo.drs, Locator File Name: 
Class ID: 0, Sub ID: -1, DRS File Name: unit_juggernaut_mo_special.drs, Locator File Name: 
Class ID: 0, Sub ID: -1, DRS File Name: unit_tuskgiant.drs, Locator File Name: 
Class ID: 0, Sub ID: -1, DRS File Name: unit_twilight_grimvine.drs, Locator File Name: 
Class ID: 0, Sub ID: -1, DRS File Name: unit_twilight_juggernaut.drs, Locator File Name: 
Class ID: 0, Sub ID: -1, DRS File Name: unit_twilight_tuskgiant.drs, Locator File Name: 
Class ID: 0, Sub ID: -1, DRS File Name: unit_undead_harvester.drs, Locator File Name: 
Class ID: 0, Sub ID: -1, DRS File Name: unit_undead_harvester_special.drs, Locator File Name: 
Class ID: 0, Sub ID: -1, DRS File Name: unit_goldwagon.drs, Locator File Name: 
Class ID: 0, Sub ID: -1, DRS File Name: unit_frost_golem.drs, Locator File Name: 
Class ID: 0, Sub ID: -1, DRS File Name: unit_nature_golem.drs, Locator File Name: 
Class ID: 0, Sub ID: -1, DRS File Name: unit_nature_golem_xl.drs, Locator File Name: 
Class ID: 0, Sub ID: -1, DRS File Name: unit_cultist_master.drs, Locator File Name: 
Class ID: 0, Sub ID: -1, DRS File Name: unit_lostsouls_timeless_one.drs, Locator File Name: 
Class ID: 0, Sub ID: -1, DRS File Name: unit_lost_priest_shade.drs, Locator File Name: 
Class ID: 0, Sub ID: -1, DRS File Name: unit_stonekin_tempest.drs, Locator File Name: 
Class ID: 0, Sub ID: -1, DRS File Name: unit_tempest.drs, Locator File Name: 
Class ID: 0, Sub ID: -1, DRS File Name: unit_timeless_one.drs, Locator File Name: 
Class ID: 0, Sub ID: -1, DRS File Name: unit_timeshifter_spirit.drs, Locator File Name: 
Class ID: 0, Sub ID: -1, DRS File Name: unit_twilight_timeshifter_spirit.drs, Locator File Name: 
Class ID: 0, Sub ID: -1, DRS File Name: unit_frost_mage.drs, Locator File Name: 
Class ID: 0, Sub ID: -1, DRS File Name: unit_grove_spirit.drs, Locator File Name: 
Class ID: 0, Sub ID: -1, DRS File Name: unit_shadow_mage.drs, Locator File Name: 
Class ID: 0, Sub ID: -1, DRS File Name: unit_twilight_grove_spirit.drs, Locator File Name: 
Class ID: 0, Sub ID: -1, DRS File Name: unit_bandit_champion.drs, Locator File Name: 
Class ID: 0, Sub ID: -1, DRS File Name: unit_champion.drs, Locator File Name: 
Class ID: 0, Sub ID: -1, DRS File Name: unit_onslaught.drs, Locator File Name: 
Class ID: 0, Sub ID: -1, DRS File Name: unit_orc_warrior.drs, Locator File Name: 
Class ID: 0, Sub ID: -1, DRS File Name: unit_reaver.drs, Locator File Name: 
Class ID: 0, Sub ID: -1, DRS File Name: unit_stonekin_wrathblade.drs, Locator File Name: 
Class ID: 0, Sub ID: -1, DRS File Name: unit_twilight_champion.drs, Locator File Name: 
Class ID: 0, Sub ID: -1, DRS File Name: unit_twilight_orc_warrior.drs, Locator File Name: 
Class ID: 0, Sub ID: -1, DRS File Name: unit_wrathblade.drs, Locator File Name: 
Class ID: 0, Sub ID: -1, DRS File Name: unit_bandit_guardian.drs, Locator File Name: 
Class ID: 0, Sub ID: -1, DRS File Name: unit_bandit_mauler.drs, Locator File Name: 
Class ID: 0, Sub ID: -1, DRS File Name: unit_bandit_ogre_shaman.drs, Locator File Name: 
Class ID: 0, Sub ID: -1, DRS File Name: unit_executor.drs, Locator File Name: 
Class ID: 0, Sub ID: -1, DRS File Name: unit_gladiator.drs, Locator File Name: 
Class ID: 0, Sub ID: -1, DRS File Name: unit_gladiator_frost.drs, Locator File Name: 
Class ID: 0, Sub ID: -1, DRS File Name: unit_knight_of_chaos.drs, Locator File Name: 
Class ID: 0, Sub ID: -1, DRS File Name: unit_lightblade.drs, Locator File Name: 
Class ID: 0, Sub ID: -1, DRS File Name: unit_mauler.drs, Locator File Name: 
Class ID: 0, Sub ID: -1, DRS File Name: unit_ogre_shaman.drs, Locator File Name: 
Class ID: 0, Sub ID: -1, DRS File Name: unit_ogre_shaman_black.drs, Locator File Name: 
Class ID: 0, Sub ID: -1, DRS File Name: unit_ogre_shaman_fire.drs, Locator File Name: 
Class ID: 0, Sub ID: -1, DRS File Name: unit_shadow_savage.drs, Locator File Name: 
Class ID: 0, Sub ID: -1, DRS File Name: unit_shadow_slaver.drs, Locator File Name: 
Class ID: 0, Sub ID: -1, DRS File Name: unit_twilight_guardian.drs, Locator File Name: 
Class ID: 0, Sub ID: -1, DRS File Name: unit_twilight_mauler.drs, Locator File Name: 
Class ID: 0, Sub ID: -1, DRS File Name: unit_twilight_savage.drs, Locator File Name: 
Class ID: 0, Sub ID: -1, DRS File Name: unit_twilight_slaver.drs, Locator File Name: 
Class ID: 0, Sub ID: -1, DRS File Name: unit_bandit_silverwind_lancer.drs, Locator File Name: 
Class ID: 0, Sub ID: -1, DRS File Name: unit_dreadcharger.drs, Locator File Name: 
Class ID: 0, Sub ID: -1, DRS File Name: unit_nomad.drs, Locator File Name: 
Class ID: 0, Sub ID: -1, DRS File Name: unit_silverwind_lancer.drs, Locator File Name: 
Class ID: 0, Sub ID: -1, DRS File Name: unit_templar_cavalry.drs, Locator File Name: 
Class ID: 0, Sub ID: -1, DRS File Name: unit_templar_cavalry_special.drs, Locator File Name: 
Class ID: 0, Sub ID: -1, DRS File Name: unit_bandit_striker.drs, Locator File Name: 
Class ID: 0, Sub ID: -1, DRS File Name: unit_fire_clawfighter.drs, Locator File Name: 
Class ID: 0, Sub ID: -1, DRS File Name: unit_striker.drs, Locator File Name: 
Class ID: 0, Sub ID: -1, DRS File Name: unit_twilight_clawfighter.drs, Locator File Name: 
Class ID: 0, Sub ID: -1, DRS File Name: unit_undead_fleshtearer.drs, Locator File Name: 
Class ID: 0, Sub ID: -1, DRS File Name: unit_werebeast.drs, Locator File Name: 
Class ID: 0, Sub ID: -1, DRS File Name: unit_bandit_defender_v1.drs, Locator File Name: 
Class ID: 0, Sub ID: -1, DRS File Name: unit_bandit_defender_v2.drs, Locator File Name: 
Class ID: 0, Sub ID: -1, DRS File Name: unit_bandit_nox_rigger.drs, Locator File Name: 
Class ID: 0, Sub ID: -1, DRS File Name: unit_crossbowman.drs, Locator File Name: 
Class ID: 0, Sub ID: -1, DRS File Name: unit_defender.drs, Locator File Name: 
Class ID: 0, Sub ID: -1, DRS File Name: unit_defender_fire.drs, Locator File Name: 
Class ID: 0, Sub ID: -1, DRS File Name: unit_firesworn.drs, Locator File Name: 
Class ID: 0, Sub ID: -1, DRS File Name: unit_forsaken.drs, Locator File Name: 
Class ID: 0, Sub ID: -1, DRS File Name: unit_nox_rigger.drs, Locator File Name: 
Class ID: 0, Sub ID: -1, DRS File Name: unit_rifle_cultist.drs, Locator File Name: 
Class ID: 0, Sub ID: -1, DRS File Name: unit_twilight_defender.drs, Locator File Name: 
Class ID: 0, Sub ID: -1, DRS File Name: unit_amazon.drs, Locator File Name: 
Class ID: 0, Sub ID: -1, DRS File Name: unit_gladiatrix.drs, Locator File Name: 
Class ID: 0, Sub ID: -1, DRS File Name: unit_nightguard.drs, Locator File Name: 
Class ID: 0, Sub ID: -1, DRS File Name: unit_phantom.drs, Locator File Name: 
Class ID: 0, Sub ID: -1, DRS File Name: unit_stormsinger.drs, Locator File Name: 
Class ID: 0, Sub ID: -1, DRS File Name: unit_bandit_sorceress.drs, Locator File Name: 
Class ID: 0, Sub ID: -1, DRS File Name: unit_civilian_female.drs, Locator File Name: 
Class ID: 0, Sub ID: -1, DRS File Name: unit_dryad.drs, Locator File Name: 
Class ID: 0, Sub ID: -1, DRS File Name: unit_firedancer.drs, Locator File Name: 
Class ID: 0, Sub ID: -1, DRS File Name: unit_firedancer_special.drs, Locator File Name: 
Class ID: 0, Sub ID: -1, DRS File Name: unit_frost_sorceress.drs, Locator File Name: 
Class ID: 0, Sub ID: -1, DRS File Name: unit_lostsouls_firedancer.drs, Locator File Name: 
Class ID: 0, Sub ID: -1, DRS File Name: unit_lostsouls_firedancer_shade.drs, Locator File Name: 
Class ID: 0, Sub ID: -1, DRS File Name: unit_moon.drs, Locator File Name: 
Class ID: 0, Sub ID: -1, DRS File Name: unit_moon_legendary.drs, Locator File Name: 
Class ID: 0, Sub ID: -1, DRS File Name: unit_twilight_dancer.drs, Locator File Name: 
Class ID: 0, Sub ID: -1, DRS File Name: unit_viridiya.drs, Locator File Name: 
Class ID: 0, Sub ID: -1, DRS File Name: unit_viridiya_special.drs, Locator File Name: 
Class ID: 0, Sub ID: -1, DRS File Name: unit_viridiya_spirit.drs, Locator File Name: 
Class ID: 0, Sub ID: -1, DRS File Name: unit_viridiya_spirit_fire.drs, Locator File Name: 
Class ID: 0, Sub ID: -1, DRS File Name: unit_viridiya_spirit_frost.drs, Locator File Name: 
Class ID: 0, Sub ID: -1, DRS File Name: unit_viridiya_spirit_nature.drs, Locator File Name: 
Class ID: 0, Sub ID: -1, DRS File Name: unit_viridiya_spirit_shadow.drs, Locator File Name: 
Class ID: 0, Sub ID: -1, DRS File Name: unit_winter_witch.drs, Locator File Name: 
Class ID: 0, Sub ID: -1, DRS File Name: unit_civilian_male.drs, Locator File Name: 
Class ID: 0, Sub ID: -1, DRS File Name: unit_giant_slayer.drs, Locator File Name: 
Class ID: 0, Sub ID: -1, DRS File Name: unit_ice_guardian.drs, Locator File Name: 
Class ID: 0, Sub ID: -1, DRS File Name: unit_lostsouls_wrecker.drs, Locator File Name: 
Class ID: 0, Sub ID: -1, DRS File Name: unit_lostsouls_wrecker_shade.drs, Locator File Name: 
Class ID: 0, Sub ID: -1, DRS File Name: unit_rogan_kayle.drs, Locator File Name: 
Class ID: 0, Sub ID: -1, DRS File Name: unit_rogan_kayle_special.drs, Locator File Name: 
Class ID: 0, Sub ID: -1, DRS File Name: unit_stonekin_guardian.drs, Locator File Name: 
Class ID: 0, Sub ID: -1, DRS File Name: unit_wrecker.drs, Locator File Name: 
Class ID: 0, Sub ID: -1, DRS File Name: unit_bandit_spearman.drs, Locator File Name: 
Class ID: 0, Sub ID: -1, DRS File Name: unit_ghostspear.drs, Locator File Name: 
